point_id,angle,direction,filename
-tVYaxOIZ08Z1nrn2vku3Q,0,front,pano_-tVYaxOIZ08Z1nrn2vku3Q_h0.jpg
-tVYaxOIZ08Z1nrn2vku3Q,90,right,pano_-tVYaxOIZ08Z1nrn2vku3Q_h90.jpg
-tVYaxOIZ08Z1nrn2vku3Q,180,back,pano_-tVYaxOIZ08Z1nrn2vku3Q_h180.jpg
-tVYaxOIZ08Z1nrn2vku3Q,270,left,pano_-tVYaxOIZ08Z1nrn2vku3Q_h270.jpg
-ugfWGKt3gM2DXT0pbIX3w,0,front,pano_-ugfWGKt3gM2DXT0pbIX3w_h0.jpg
-ugfWGKt3gM2DXT0pbIX3w,90,right,pano_-ugfWGKt3gM2DXT0pbIX3w_h90.jpg
-ugfWGKt3gM2DXT0pbIX3w,180,back,pano_-ugfWGKt3gM2DXT0pbIX3w_h180.jpg
-ugfWGKt3gM2DXT0pbIX3w,270,left,pano_-ugfWGKt3gM2DXT0pbIX3w_h270.jpg
-ujf1awi4yO2peYgB3-QXA,0,front,pano_-ujf1awi4yO2peYgB3-QXA_h0.jpg
-ujf1awi4yO2peYgB3-QXA,90,right,pano_-ujf1awi4yO2peYgB3-QXA_h90.jpg
-ujf1awi4yO2peYgB3-QXA,180,back,pano_-ujf1awi4yO2peYgB3-QXA_h180.jpg
-ujf1awi4yO2peYgB3-QXA,270,left,pano_-ujf1awi4yO2peYgB3-QXA_h270.jpg
-v1L4YTEfkNVD8PuvmpKIA,0,front,pano_-v1L4YTEfkNVD8PuvmpKIA_h0.jpg
